DAY,MONTH,BELGIUM,VLAANDEREN,WALLONIE,BRUSSELS,PROVINCIE ANTWERPEN,PROVINCIE VLAAMS BRABANT,PROVINCE BRABANT WALLON,PROVINCIE WEST VLAANDEREN,PROVINCIE OOST VLAANDEREN,PROVINCE HAINAUT,PROVINCE LIEGE,PROVINCIE LIMBURG,PROVINCE LUXEMBOURG,PROVINCE NAMUR
20,9,33696,19366,10722,3608,5488,3387,1209,3341,4598,4000,3225,2552,821,1467
21,9,33072,19155,10481,3436,5429,3382,1168,3365,4457,3890,3114,2522,832,1477
22,9,32664,18897,10476,3291,5265,3315,1187,3523,4335,3900,3141,2459,851,1397
23,9,32435,18717,10407,3311,5246,3333,1147,3360,4397,3808,3162,2381,864,1426
24,9,32554,18614,10599,3341,5157,3286,1164,3330,4356,3996,3159,2485,835,1445
25,9,33142,19116,10601,3425,5255,3381,1137,3487,4482,3881,3230,2511,852,1501
26,9,32313,18459,10530,3324,5078,3246,1162,3332,4346,3859,3172,2457,849,1488
27,9,32131,18602,10128,3401,5258,3396,1185,3252,4218,3756,2973,2478,817,1397
28,9,32282,18614,10356,3312,5243,3362,1177,3282,4380,3844,3062,2347,810,1463
29,9,32279,18430,10440,3409,5249,3223,1203,3317,4218,3774,3151,2423,871,1441
30,9,32294,18750,10271,3273,5223,3283,1167,3489,4267,3792,3065,2488,836,1411
1,10,34694,20049,10645,4000,5704,3369,1187,3515,4690,3908,3286,2771,851,1413
2,10,32180,18708,10072,3400,5350,3284,1131,3330,4330,3694,3052,2414,799,1396
3,10,31840,18161,10266,3413,4960,3218,1141,3233,4320,3743,3146,2430,851,1385
4,10,31482,18014,10051,3417,5082,3243,1153,3311,4044,3720,3010,2334,808,1360
5,10,31959,18419,10126,3414,5176,3294,1080,3389,4280,3783,3104,2280,806,1353
6,10,31669,18251,10182,3236,5157,3153,1147,3261,4248,3767,3136,2432,784,1348
7,10,31016,17852,9958,3206,5055,3162,1111,3234,4107,3582,3114,2294,747,1404
8,10,31443,18082,10061,3300,5069,3145,1097,3264,4253,3683,3083,2351,818,1380
9,10,30657,17571,9919,3167,4996,3130,1109,3150,3985,3788,2898,2310,827,1297
10,10,33655,19184,10539,3932,5611,3359,1170,3360,4351,3881,3243,2503,826,1419
11,10,30820,17846,9810,3164,4963,3249,1051,3141,4194,3613,2982,2299,797,1367
12,10,31124,18023,9948,3153,5128,3134,1145,3266,4171,3675,2973,2324,800,1355
13,10,30181,17369,9699,3113,4850,3111,1105,3116,3984,3601,2837,2308,804,1352
14,10,30929,17773,9890,3266,4990,3057,1117,3216,4199,3632,3031,2311,814,1296
15,10,31922,18188,10202,3532,5205,3202,1083,3210,4224,3770,3131,2347,801,1417
