                                                 INSTNM    OPEID  REGION  SAT_AVG_ALL  PCTPELL  PCTFLOAN  ADM_RATE_ALL       UG  AVGFACSAL   COMPL_RPY_5YR_RT           DEBT_MDN  MEDIAN_HH_INC  \
164                        Nova Southeastern University   150900       5       1130.0    0.421     0.559         0.592   4110.0     9731.0        0.648671096              18750       62876.89   
165                      Palm Beach Atlantic University   884900       5       1065.0    0.337     0.523         0.929   1964.0     7400.0        0.751987281              15000       64221.06   
166             University of South Florida-Main Campus   153700       5       1167.0    0.407     0.461         0.448  27384.0     9382.0        0.728743546              16117       58397.57   
167                                St Thomas University   146800       5        924.0    0.470     0.584         0.489   1221.0    10047.0        0.647840532              15500       56846.82   
168                             Southeastern University   152100       5        955.0    0.409     0.589         0.465   1232.0     7214.0        0.767705382              11501       60101.07   
169                             The University of Tampa   153800       5       1092.0    0.241     0.620         0.507   2961.0     8739.0        0.798042705              16883       71934.52   
170                             Trinity Baptist College  3101900       5        845.0    0.635     0.873         0.863    362.0     3465.0  PrivacySuppressed               5750       58249.91   
171                          Trinity College of Florida  3028200       5        898.0    0.646     0.725         0.737    147.0     4658.0        0.581395349              14250       55309.46   
172                                   Warner University   884800       5        879.0    0.688     0.853         0.512   1001.0     4734.0        0.610909091              16250       52491.75   
173                     Webber International University   154000       5        902.0    0.429     0.574         0.552    419.0     4269.0                0.6              10250       55372.47   
174                      The University of West Florida   395500       5       1053.0    0.416     0.716         0.415   6753.0     7771.0        0.691558442              12500       54753.42   
175                Abraham Baldwin Agricultural College   154100       5        933.0    0.459     0.449         0.773   2630.0     5083.0        0.691756272               7121       46480.92   
176                             Albany State University   154400       5        883.0    0.731     0.874         0.637   3129.0     5640.0        0.353535354            25404.5       52181.09   
177                          Armstrong State University   154600       5        997.0    0.459     0.576         0.739   4988.0     5857.0         0.73318872              13000       56704.76   
178                                    Point University   154700       5        910.0    0.587     0.757         0.491    385.0     6088.0        0.585858586              14000       69033.68   
179                            Clark Atlanta University   155900       5        850.0    0.718     0.859         0.512   4030.0     6997.0        0.482894737              19500       60451.55   
180                                       Berry College   155400       5       1179.0    0.245     0.545         0.554   1822.0     7637.0        0.882165605              17062       70464.52   
181                                   Brenau University   155600       5        990.0    0.503     0.741         0.656   1469.0     6865.0        0.720720721              15000       67048.19   
182                          College of Coastal Georgia   155800       5        935.0    0.510     0.467         0.950   1912.0     5851.0        0.708333333             7265.5       50342.20   
183                           Columbus State University   156100       5        961.0    0.470     0.596         0.557   4450.0     6258.0        0.561465721            14257.5       55979.92   
184                                    Covenant College   348400       5       1189.0    0.273     0.530         0.940   1074.0     7385.0  PrivacySuppressed            18937.5       63670.68   
185                                    Emmanuel College   156300       5        930.0    0.488     0.612         0.339    786.0     5035.0        0.682634731              10558       50422.48   
186                                    Emory University   156400       5       1366.0    0.203     0.328         0.285   6316.0    13190.0        0.880895284              15500       80509.92   
187                        Fort Valley State University   156600       5        865.0    0.758     0.853         0.205   2212.0     3940.0        0.496062992              26000       53364.82   
188         Georgia Institute of Technology-Main Campus   156900       5       1403.0    0.170     0.307         0.322  10745.0    12149.0        0.928638941              21500       77933.64   
